Date,ISO,population
1950-01-01 00:00:00,CHN,562.579779
1951-01-01 00:00:00,CHN,567.100762
1952-01-01 00:00:00,CHN,574.5362739999999
1953-01-01 00:00:00,CHN,584.1913539999999
1954-01-01 00:00:00,CHN,594.7248440000001
1955-01-01 00:00:00,CHN,606.729654
1956-01-01 00:00:00,CHN,619.135938
1957-01-01 00:00:00,CHN,633.214551
1958-01-01 00:00:00,CHN,646.703076
1959-01-01 00:00:00,CHN,654.3494300000001
1960-01-01 00:00:00,CHN,650.6605129999999
1961-01-01 00:00:00,CHN,644.669932
1962-01-01 00:00:00,CHN,653.302104
1963-01-01 00:00:00,CHN,674.248708
1964-01-01 00:00:00,CHN,696.064936
1965-01-01 00:00:00,CHN,715.546458
1966-01-01 00:00:00,CHN,735.903786
1967-01-01 00:00:00,CHN,755.3201190000001
1968-01-01 00:00:00,CHN,776.152777
1969-01-01 00:00:00,CHN,798.640508
1970-01-01 00:00:00,CHN,820.403282
1971-01-01 00:00:00,CHN,842.4556779999999
1972-01-01 00:00:00,CHN,863.439051
1973-01-01 00:00:00,CHN,883.019765
1974-01-01 00:00:00,CHN,901.3180649999999
1975-01-01 00:00:00,CHN,917.898537
1976-01-01 00:00:00,CHN,932.5887270000001
1977-01-01 00:00:00,CHN,946.093816
1978-01-01 00:00:00,CHN,958.835162
1979-01-01 00:00:00,CHN,972.136875
1980-01-01 00:00:00,CHN,984.73646
1981-01-01 00:00:00,CHN,997.000718
1982-01-01 00:00:00,CHN,1012.490488
1983-01-01 00:00:00,CHN,1028.3565350000001
1984-01-01 00:00:00,CHN,1042.75605
1985-01-01 00:00:00,CHN,1058.007717
1986-01-01 00:00:00,CHN,1074.522563
1987-01-01 00:00:00,CHN,1093.7257120000002
1988-01-01 00:00:00,CHN,1112.866405
1989-01-01 00:00:00,CHN,1130.729412
1990-01-01 00:00:00,CHN,1148.36447
1991-01-01 00:00:00,CHN,1163.610388
1992-01-01 00:00:00,CHN,1177.535611
1993-01-01 00:00:00,CHN,1190.761826
1994-01-01 00:00:00,CHN,1203.8017439999999
1995-01-01 00:00:00,CHN,1216.3784440000002
1996-01-01 00:00:00,CHN,1227.882189
1997-01-01 00:00:00,CHN,1238.1256640000001
1998-01-01 00:00:00,CHN,1247.502219
1999-01-01 00:00:00,CHN,1255.9924990000002
2000-01-01 00:00:00,CHN,1263.6375309999999
2001-01-01 00:00:00,CHN,1270.744232
2002-01-01 00:00:00,CHN,1277.59472
2003-01-01 00:00:00,CHN,1284.3033159999998
2004-01-01 00:00:00,CHN,1291.001804
2005-01-01 00:00:00,CHN,1297.765318
2006-01-01 00:00:00,CHN,1304.2618850000001
2007-01-01 00:00:00,CHN,1310.583544
2008-01-01 00:00:00,CHN,1317.065677
2009-01-01 00:00:00,CHN,1323.591583
2010-01-01 00:00:00,CHN,1330.141295
2011-01-01 00:00:00,CHN,
1950-01-01 00:00:00,USA,
1951-01-01 00:00:00,USA,
1952-01-01 00:00:00,USA,
1953-01-01 00:00:00,USA,
1954-01-01 00:00:00,USA,
1955-01-01 00:00:00,USA,
1956-01-01 00:00:00,USA,
1957-01-01 00:00:00,USA,
1958-01-01 00:00:00,USA,
1959-01-01 00:00:00,USA,
1960-01-01 00:00:00,USA,180.67
1961-01-01 00:00:00,USA,183.69
1962-01-01 00:00:00,USA,186.54
1963-01-01 00:00:00,USA,189.24
1964-01-01 00:00:00,USA,191.89
1965-01-01 00:00:00,USA,194.3
1966-01-01 00:00:00,USA,196.56
1967-01-01 00:00:00,USA,198.71
1968-01-01 00:00:00,USA,200.71
1969-01-01 00:00:00,USA,202.68
1970-01-01 00:00:00,USA,205.05
1971-01-01 00:00:00,USA,207.66
1972-01-01 00:00:00,USA,209.9
1973-01-01 00:00:00,USA,211.91
1974-01-01 00:00:00,USA,213.85
1975-01-01 00:00:00,USA,215.97
1976-01-01 00:00:00,USA,218.04
1977-01-01 00:00:00,USA,220.24
1978-01-01 00:00:00,USA,222.59
1979-01-01 00:00:00,USA,225.06
1980-01-01 00:00:00,USA,227.73
1981-01-01 00:00:00,USA,229.97
1982-01-01 00:00:00,USA,232.19
1983-01-01 00:00:00,USA,234.31
1984-01-01 00:00:00,USA,236.35
1985-01-01 00:00:00,USA,238.47
1986-01-01 00:00:00,USA,240.65
1987-01-01 00:00:00,USA,242.8
1988-01-01 00:00:00,USA,245.02
1989-01-01 00:00:00,USA,247.34
1990-01-01 00:00:00,USA,250.13
1991-01-01 00:00:00,USA,253.49
1992-01-01 00:00:00,USA,256.89
1993-01-01 00:00:00,USA,260.26
1994-01-01 00:00:00,USA,263.44
1995-01-01 00:00:00,USA,266.56
1996-01-01 00:00:00,USA,269.67
1997-01-01 00:00:00,USA,272.91
1998-01-01 00:00:00,USA,276.12
1999-01-01 00:00:00,USA,279.3
2000-01-01 00:00:00,USA,282.38
2001-01-01 00:00:00,USA,285.31
2002-01-01 00:00:00,USA,288.1
2003-01-01 00:00:00,USA,290.82
2004-01-01 00:00:00,USA,293.46
2005-01-01 00:00:00,USA,296.19
2006-01-01 00:00:00,USA,299.0
2007-01-01 00:00:00,USA,302.0
2008-01-01 00:00:00,USA,304.8
2009-01-01 00:00:00,USA,307.44
2010-01-01 00:00:00,USA,309.98
2011-01-01 00:00:00,USA,312.24
1950-01-01 00:00:00,CAN,
1951-01-01 00:00:00,CAN,
1952-01-01 00:00:00,CAN,
1953-01-01 00:00:00,CAN,
1954-01-01 00:00:00,CAN,
1955-01-01 00:00:00,CAN,
1956-01-01 00:00:00,CAN,
1957-01-01 00:00:00,CAN,
1958-01-01 00:00:00,CAN,
1959-01-01 00:00:00,CAN,
1960-01-01 00:00:00,CAN,17.91
1961-01-01 00:00:00,CAN,18.27
1962-01-01 00:00:00,CAN,18.61
1963-01-01 00:00:00,CAN,18.96
1964-01-01 00:00:00,CAN,19.33
1965-01-01 00:00:00,CAN,19.68
1966-01-01 00:00:00,CAN,20.05
1967-01-01 00:00:00,CAN,20.41
1968-01-01 00:00:00,CAN,20.73
1969-01-01 00:00:00,CAN,21.03
1970-01-01 00:00:00,CAN,21.32
1971-01-01 00:00:00,CAN,21.96
1972-01-01 00:00:00,CAN,22.22
1973-01-01 00:00:00,CAN,22.49
1974-01-01 00:00:00,CAN,22.81
1975-01-01 00:00:00,CAN,23.14
1976-01-01 00:00:00,CAN,23.45
1977-01-01 00:00:00,CAN,23.73
1978-01-01 00:00:00,CAN,23.96
1979-01-01 00:00:00,CAN,24.2
1980-01-01 00:00:00,CAN,24.52
1981-01-01 00:00:00,CAN,24.82
1982-01-01 00:00:00,CAN,25.12
1983-01-01 00:00:00,CAN,25.37
1984-01-01 00:00:00,CAN,25.61
1985-01-01 00:00:00,CAN,25.84
1986-01-01 00:00:00,CAN,26.1
1987-01-01 00:00:00,CAN,26.45
1988-01-01 00:00:00,CAN,26.79
1989-01-01 00:00:00,CAN,27.28
1990-01-01 00:00:00,CAN,27.69
1991-01-01 00:00:00,CAN,28.04
1992-01-01 00:00:00,CAN,28.37
1993-01-01 00:00:00,CAN,28.68
1994-01-01 00:00:00,CAN,29.0
1995-01-01 00:00:00,CAN,29.3
1996-01-01 00:00:00,CAN,29.61
1997-01-01 00:00:00,CAN,29.91
1998-01-01 00:00:00,CAN,30.16
1999-01-01 00:00:00,CAN,30.4
2000-01-01 00:00:00,CAN,30.69
2001-01-01 00:00:00,CAN,31.02
2002-01-01 00:00:00,CAN,31.35
2003-01-01 00:00:00,CAN,31.64
2004-01-01 00:00:00,CAN,31.94
2005-01-01 00:00:00,CAN,32.25
2006-01-01 00:00:00,CAN,32.58
2007-01-01 00:00:00,CAN,32.93
2008-01-01 00:00:00,CAN,33.32
2009-01-01 00:00:00,CAN,33.73
2010-01-01 00:00:00,CAN,34.13
2011-01-01 00:00:00,CAN,34.48
